Country,Description
Kenya 1,"A country in East Africa with coastline on the Indian Ocean, famous for the Maasai Mara."
India 1,A South Asian nation with diverse terrain – from Himalayan peaks to Indian Ocean coastline.
Australia 1,"A country and continent surrounded by the Indian and Pacific oceans, known for its outback."
China 1,"A populous nation in East Asia whose vast landscape encompasses grassland, desert, and mountains."
Antarctica 1,"Earth's southernmost continent, containing the geographic South Pole and mostly ice."
Canada 1,"The second-largest country by land area, known for its vast wilderness and cold climate."
Brazil 1,"South America’s largest country, home to much of the Amazon River basin and rainforest."
South Africa 1,"A country on the southernmost tip of the African continent, with diverse ecosystems."
USA 1,"A country of 50 states covering a vast swath of North America, from the Atlantic to the Pacific."
Thailand 1,"A Southeast Asian country known for tropical beaches, opulent royal palaces, and ancient ruins."
Norway 1,"A Scandinavian country encompassing mountains, glaciers and deep coastal fjords."
Japan 1,"An island nation in the Pacific Ocean with dense cities, imperial palaces, and mountainous parks."
Mexico 1,"A country between the U.S. and Central America, known for its Pacific and Gulf of Mexico beaches."
Egypt 1,"A country linking northeast Africa with the Middle East, home to the Great Pyramids."
France 1,"A Western European country with medieval cities, alpine villages and Mediterranean beaches."
Germany 1,"A Western European country with a landscape of forests, rivers, mountain ranges and North Sea beaches."
Italy 1,"A Mediterranean country with a vast coastline, has left a powerful mark on Western culture."
Spain 1,"A country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography."
United Kingdom 1,"An island nation in northwestern Europe made up of England, Scotland, Wales and Northern Ireland."
Russia 1,"The world's largest nation by land area, spanning Eastern Europe and Northern Asia."
Argentina 1,A massive South American nation with terrain encompassing Andes mountains and Pampas grassland.
Chile 1,"A long, narrow country stretching along South America's western edge, with over 6,000km of coastline."
Peru 1,A country in South America that's home to a section of Amazon rainforest and Machu Picchu.
Colombia 1,"A country at the northern tip of South America, with landscape of rainforests and Andes mountains."
Nigeria 1,"An African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves."
Ethiopia 1,"A landlocked country on the Horn of Africa, split by the Great Rift Valley."
Morocco 1,A North African country bordering the Atlantic Ocean and Mediterranean Sea.
Tanzania 1,"An East African country known for its vast wilderness areas, including the Serengeti."
Vietnam 1,A Southeast Asian country on the South China Sea known for its beaches and bustling cities.
Indonesia 1,"A country in Southeast Asia and Oceania, between the Indian and Pacific oceans."
South Korea 1,"An East Asian nation on the southern half of the Korean Peninsula, shares a border with North Korea."
Turkey 1,A nation straddling eastern Europe and western Asia with cultural connections to ancient empires.
Greece 1,A country in southeastern Europe with thousands of islands throughout the Aegean and Ionian seas.
Switzerland 1,"A mountainous Central European country, home to numerous lakes, villages and the high Alps."
Sweden 1,A Scandinavian nation with thousands of coastal islands and inland lakes.
New Zealand 1,"An island country in the southwestern Pacific Ocean, known for its volcanoes and glaciation."
Madagascar 1,"A huge island nation off the southeast coast of Africa, home to unique wildlife like lemurs."
Iceland 1,"A Nordic island nation, defined by its dramatic landscape with volcanoes, geysers and hot springs."
Greenland 1,"The world's largest island, located between the Arctic and Atlantic oceans."
Costa Rica 1,"A rugged, rainforested Central American country with coastlines on the Caribbean and Pacific."
Panama 1,"A country on the isthmus linking Central and South America, home to the famous Panama Canal."
Ecuador 1,"A country straddling the equator on South America’s west coast, with diverse landscapes."
Bolivia 1,"A country in central South America, with a varied terrain spanning Andes Mountains and Atacama Desert."
Paraguay 1,"A landlocked country between Argentina, Brazil and Bolivia, with large swaths of swampland."
Uruguay 1,A South American country known for its verdant interior and beach-lined coast.
Fiji 1,"An archipelago of more than 300 islands in the South Pacific, known for rugged landscapes."
Papua New Guinea 1,A country in Oceania that occupies the eastern half of the island of New Guinea.
Mongolia 1,"A nation bordered by China and Russia, known for vast, rugged expanses and nomadic culture."
Kazakhstan 1,"A Central Asian country and former Soviet republic, extends from the Caspian Sea to the Altai Mountains."
Nepal 1,"A country in South Asia between China and India, home to eight of the world's ten tallest peaks."
Kenya 2,"A country in East Africa with coastline on the Indian Ocean, famous for the Maasai Mara."
India 2,A South Asian nation with diverse terrain – from Himalayan peaks to Indian Ocean coastline.
Australia 2,"A country and continent surrounded by the Indian and Pacific oceans, known for its outback."
China 2,"A populous nation in East Asia whose vast landscape encompasses grassland, desert, and mountains."
Antarctica 2,"Earth's southernmost continent, containing the geographic South Pole and mostly ice."
Canada 2,"The second-largest country by land area, known for its vast wilderness and cold climate."
Brazil 2,"South America’s largest country, home to much of the Amazon River basin and rainforest."
South Africa 2,"A country on the southernmost tip of the African continent, with diverse ecosystems."
USA 2,"A country of 50 states covering a vast swath of North America, from the Atlantic to the Pacific."
Thailand 2,"A Southeast Asian country known for tropical beaches, opulent royal palaces, and ancient ruins."
Norway 2,"A Scandinavian country encompassing mountains, glaciers and deep coastal fjords."
Japan 2,"An island nation in the Pacific Ocean with dense cities, imperial palaces, and mountainous parks."
Mexico 2,"A country between the U.S. and Central America, known for its Pacific and Gulf of Mexico beaches."
Egypt 2,"A country linking northeast Africa with the Middle East, home to the Great Pyramids."
France 2,"A Western European country with medieval cities, alpine villages and Mediterranean beaches."
Germany 2,"A Western European country with a landscape of forests, rivers, mountain ranges and North Sea beaches."
Italy 2,"A Mediterranean country with a vast coastline, has left a powerful mark on Western culture."
Spain 2,"A country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography."
United Kingdom 2,"An island nation in northwestern Europe made up of England, Scotland, Wales and Northern Ireland."
Russia 2,"The world's largest nation by land area, spanning Eastern Europe and Northern Asia."
Argentina 2,A massive South American nation with terrain encompassing Andes mountains and Pampas grassland.
Chile 2,"A long, narrow country stretching along South America's western edge, with over 6,000km of coastline."
Peru 2,A country in South America that's home to a section of Amazon rainforest and Machu Picchu.
Colombia 2,"A country at the northern tip of South America, with landscape of rainforests and Andes mountains."
Nigeria 2,"An African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves."
Ethiopia 2,"A landlocked country on the Horn of Africa, split by the Great Rift Valley."
Morocco 2,A North African country bordering the Atlantic Ocean and Mediterranean Sea.
