Animal,Description,Type of Organism,Interesting Fact
Lion,"The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success. The 'King of the Jungle', a large social cat found in African savannas that lives in prides, patrols open grasslands, rests through the hottest hours of the day, and depends on coordinated social behavior for territorial defense and hunting success.",Mammal,"Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat. Lions are the only big cats that typically live in social groups called prides, where females often cooperate in cub rearing, territorial defense, and coordinated hunting over large ranges of open habitat."
Tiger,"A solitary hunter and the largest cat species in the world, native to Asia.",Mammal,"Every tiger has a unique stripe pattern, much like a human fingerprint."
Elephant,"The largest land mammal, known for its high intelligence and long trunk.",Mammal,"Elephants can communicate using low-frequency rumbles that travel long distances."
Giraffe,"The tallest living terrestrial animal, characterized by its extremely long neck.",Mammal,"A giraffe's tongue can be long enough to help it clean its own ears."
Kangaroo,"A large marsupial native to Australia, known for hopping on its powerful hind legs.",Mammal,"Kangaroos use their strong tails like a fifth limb when moving slowly."
Panda,"A bear native to south-central China, famous for its black and white coat and bamboo diet.",Mammal,"Giant pandas spend much of their day eating bamboo to meet their energy needs."
Penguin,"Flightless marine birds that live almost exclusively in the Southern Hemisphere.",Bird,"Penguins are expert swimmers that use their wings as flippers underwater."
Wolf,"A large canine native to Eurasia and North America, known for its pack behavior.",Mammal,"Wolves use howls to communicate with pack members across long distances."
Zebra,"African equines best known for their distinctive black-and-white striped coats.",Mammal,"No two zebras have exactly the same stripe pattern."
Koala,"An arboreal herbivorous marsupial native to Australia, primarily eating eucalyptus.",Mammal,"Koalas sleep for much of the day because eucalyptus leaves provide limited energy."
Eagle,"A large, powerful bird of prey with excellent eyesight and a hooked beak.",Bird,"Eagles can spot prey from remarkable distances thanks to their sharp vision."
Shark,"Ancient predatory fish found in all oceans, known for their cartilaginous skeletons.",Fish,"Some shark species have existed for hundreds of millions of years."
Dolphin,"Highly intelligent marine mammals known for their playful behavior and sonar.",Mammal,"Dolphins use echolocation to navigate and locate prey underwater."
Gorilla,"The largest living primates, inhabiting the forests of central sub-Saharan Africa.",Mammal,"Gorillas share a very high percentage of their DNA with humans."
Cheetah,"The fastest land animal, capable of reaching speeds up to 70 mph.",Mammal,"Cheetahs accelerate extremely quickly but can only sustain top speed briefly."
Jaguar,"A large cat species found in the Americas, known for its powerful bite.",Mammal,"Jaguars are strong swimmers and often hunt near rivers and wetlands."
Lemur,"Primate native only to the island of Madagascar, with large reflective eyes.",Mammal,"Lemurs are found naturally only on Madagascar and nearby small islands."
Ostrich,"The largest and heaviest living bird, native to Africa and flightless.",Bird,"An ostrich has powerful legs that can deliver a dangerous kick."
Platypus,"A duck-billed, egg-laying mammal native to eastern Australia.",Mammal,"The platypus is one of the few mammals that lays eggs."
